electrode pos_x pos_y pos_z normal_x normal_y normal_z
E1 0.993 -4.855 -1.116 0.196 -0.956 -0.220
E2 -2.700 -3.513 -3.670 0.000 -0.692 -0.722
E3 -6.200 -3.513 -3.670 0.000 -0.692 -0.722
E4 -8.000 -4.956 -1.116 0.000 -0.976 -0.220
E5 -10.500 -3.513 -3.670 0.000 -0.692 -0.722
E6 -13.400 -4.956 -1.116 0.000 -0.976 -0.220
E7 4.763 0.000 -2.330 0.500 0.000 -0.866
E8 3.031 -1.950 -3.330 0.500 0.000 -0.866
E9 3.031 1.950 -3.330 0.500 0.000 -0.866
E10 1.299 0.000 -4.330 0.500 0.000 -0.866
E11 0.993 4.855 -1.116 0.196 0.956 -0.220
E12 -2.700 3.513 -3.670 0.000 0.692 -0.722
E13 -6.200 3.513 -3.670 0.000 0.692 -0.722
E14 -8.000 4.956 -1.116 0.000 0.976 -0.220
E15 -10.500 3.513 -3.670 0.000 0.692 -0.722
E16 -13.400 4.956 -1.116 0.000 0.976 -0.220
E17 -2.800 0.000 -5.080 0.000 0.000 -1.000
E18 -9.800 0.000 -5.080 0.000 0.000 -1.000
E19 -13.600 0.000 -5.080 0.000 0.000 -1.000
X1 -3.700 -4.956 -1.116 0.000 -0.976 -0.220
X2 -15.900 -3.589 -3.595 0.000 -0.706 -0.708
X3 -3.700 4.956 -1.116 0.000 0.976 -0.220
X4 -15.900 3.589 -3.595 0.000 0.706 -0.708
